target id date flag user text,clase
0 1467810672 mon apr 06 22 19 49 pdt 2009 no_query scotthamilton upset update facebook texting might cry result school today also blah,Neutro
0 1467814119 mon apr 06 22 20 40 pdt 2009 no_query cooliodoc _barista baked cake ated,Neutro
0 1467815753 mon apr 06 22 21 04 pdt 2009 no_query baptistethefool meh almost lover exception track get depressed every time,Neutro
0 1467822522 mon apr 06 22 22 49 pdt 2009 no_query jenn_l u move thought u already sd hmmm random u found glad hear yer well,Neutro
0 1467878929 mon apr 06 22 37 40 pdt 2009 no_query virtueimc congrats totally jealous wish xm working,Neutro
0 1467881686 mon apr 06 22 38 24 pdt 2009 no_query aoski work fan upset,Neutro
0 1467892889 mon apr 06 22 41 22 pdt 2009 no_query spysg su yin huen tweeted feel unbearable guilt made staff cry,Neutro
0 1467896777 mon apr 06 22 42 28 pdt 2009 no_query ericaleigh 777 hey girl site back girlyvue back even video,Neutro
0 1467982607 mon apr 06 23 06 39 pdt 2009 no_query valerieflynt wanna rock maxi dress coachella lacking funding,Neutro
0 1468006748 mon apr 06 23 13 35 pdt 2009 no_query migg jealous missed opening day year,Neutro
0 1468015014 mon apr 06 23 16 04 pdt 2009 no_query idrisjoel stucked paris even travel france work,Neutro
0 1468018354 mon apr 06 23 17 05 pdt 2009 no_query courtneyjayne 88 worried get 900 even though paid buttload tax last year,Neutro
0 1468021397 mon apr 06 23 18 02 pdt 2009 no_query allynrawr dont even know ride,Neutro
0 1468129540 mon apr 06 23 52 35 pdt 2009 no_query manishsinha yeah interview know even,Neutro
0 1468150732 mon apr 06 23 59 46 pdt 2009 no_query beffylove wish someone talk upset one like anyway,Neutro
0 1468158218 tue apr 07 00 01 59 pdt 2009 no_query jennyjenjen work evening night job,Neutro
0 1468173375 tue apr 07 00 06 51 pdt 2009 no_query maryleighsmom sleep 2 05am ugh even sleepy,Neutro
0 1468192673 tue apr 07 00 13 05 pdt 2009 no_query snickel 727 woo three page seven go heck procrastinate goal 1 grad school wait,Neutro
0 1468193375 tue apr 07 00 13 20 pdt 2009 no_query mina_minaa guy bill gate associate make feel like know nothing even know name,Neutro
0 1468216025 tue apr 07 00 20 54 pdt 2009 no_query moniquemay get hyphy east coast even e40,Neutro
0 1468251370 tue apr 07 00 33 03 pdt 2009 no_query jumile planting friend today funeral gt 20 year,Neutro
0 1468287156 tue apr 07 00 45 35 pdt 2009 no_query bariles got back funeral government employee friend,Neutro
0 1468316655 tue apr 07 00 56 04 pdt 2009 no_query zuziazuziulka gloomy weather,Neutro
0 1468321382 tue apr 07 00 57 48 pdt 2009 no_query phylop finger hurt sleep even vicoden amp alcohol combo,Neutro
0 1468369075 tue apr 07 01 14 57 pdt 2009 no_query squishtof even irritated find patch even get released properly tmrw whats point letting,Neutro
0 1468375719 tue apr 07 01 17 17 pdt 2009 no_query omgwtfannie think even denial watch,Neutro
0 1468377036 tue apr 07 01 17 48 pdt 2009 no_query chucksmith set video channel podcast miro checked listed,Neutro
0 1468390757 tue apr 07 01 22 48 pdt 2009 no_query shazzt hey tell one jealous,Neutro
0 1468395331 tue apr 07 01 24 28 pdt 2009 no_query roo 2bega upset find quot church flying spaghetti monster quot twitter follow,Neutro
0 1468421576 tue apr 07 01 34 05 pdt 2009 no_query rachellesmix mum birthday im glad like pressies looking forward party time later week sad im going cornwall,Neutro
0 1468441667 tue apr 07 01 41 30 pdt 2009 no_query jcverdie even google translator get,Neutro
0 1468442569 tue apr 07 01 41 50 pdt 2009 no_query saradia know feel upset losing follower probably porn star trying sell something yet,Neutro
0 1468452854 tue apr 07 01 45 38 pdt 2009 no_query bocckob snickered like twenty minute thinking awesomest name ever,Neutro
0 1468460332 tue apr 07 01 48 22 pdt 2009 no_query daniellia _ stuffy nose preventing sleep remedy,Neutro
0 1468470354 tue apr 07 01 52 04 pdt 2009 no_query luvtisdalexx isnt sunny yesterday,Neutro
0 1468473633 tue apr 07 01 53 22 pdt 2009 no_query lowcarbondiary proof reading defra greener living fund bid govt dept could grant application deadline close easter,Neutro
0 1468481907 tue apr 07 01 56 31 pdt 2009 no_query xxtaliaxx lost favourite mac lipgloss upset never lose thing,Neutro
0 1468488716 tue apr 07 01 59 07 pdt 2009 no_query kurono omg wtf sure talk school phone,Neutro
0 1468494392 tue apr 07 02 00 58 pdt 2009 no_query xhardtoforget got pshhh going trampoline even though sore,Neutro
0 1468527541 tue apr 07 02 12 59 pdt 2009 no_query zomog go looking shoe brother looking forward torquay april sunny yesterday,Neutro
0 1468530302 tue apr 07 02 14 01 pdt 2009 no_query robotclubrock mistake buying dress dont even want go grad anymore,Neutro
0 1468536368 tue apr 07 02 16 14 pdt 2009 no_query aka_d morning pat another one sunny spain except sunny today cloudy raining,Neutro
0 1468544240 tue apr 07 02 19 14 pdt 2009 no_query dineanddashed listen music dude called andy hull afew bloke even hear playing ldn tomorrow,Neutro
0 1468577939 tue apr 07 02 31 12 pdt 2009 no_query lani_bears love cooler trenchcoat weather dnw darker evening scary run night,Neutro
0 1468596693 tue apr 07 02 37 57 pdt 2009 no_query katy_louise dont know im uk yet jealous,Neutro
0 1468621613 tue apr 07 02 47 02 pdt 2009 no_query 6277 _kiss money upset,Neutro
0 1468633994 tue apr 07 02 51 31 pdt 2009 no_query ashley_sanders wake 2am think ah yes mouse running around ceiling,Neutro
0 1468653290 tue apr 07 02 58 34 pdt 2009 no_query synoiz getting people asking buy ambients album simple answer quot yet quot itunes eventually,Neutro
0 1468671624 tue apr 07 03 04 40 pdt 2009 no_query joshwinton even want get work morning feeling anyway,Neutro
0 1468674937 tue apr 07 03 05 49 pdt 2009 no_query rafeon nbcnews reporting pres chief econ guy summer loaded wall street money 8mil hedgefund bank bailed,Neutro
0 1468701674 tue apr 07 03 15 07 pdt 2009 no_query chrisgarrett yeah even turned rule spam blocking,Neutro
0 1468736961 tue apr 07 03 27 23 pdt 2009 no_query gerbery ako sa lahko lacno dostat ku knihe normana fairclougha analysing discourse,Neutro
0 1468743497 tue apr 07 03 29 39 pdt 2009 no_query ilovedricoll friggen jealous sarah bradie webb talking,Neutro
0 1468750406 tue apr 07 03 31 55 pdt 2009 no_query bovinemammal cheer dan note developer university 3 hour lunch break,Neutro
0 1468758577 tue apr 07 03 34 38 pdt 2009 no_query evamen thinking short easter holiday even starting,Neutro
0 1468765333 tue apr 07 03 36 55 pdt 2009 no_query nymeth sorry hope feel better soon,Neutro
0 1468766818 tue apr 07 03 37 26 pdt 2009 no_query lozzatheblue _ox liverpool get jealous going london thursdaiii,Neutro
0 1468830338 tue apr 07 03 57 35 pdt 2009 no_query cymon miss taco bell toooooo way taco bell franchise,Neutro
0 1468847452 tue apr 07 04 02 35 pdt 2009 no_query jenproctor got upset stomach,Neutro
0 1468848575 tue apr 07 04 02 56 pdt 2009 no_query kt_m missed v upset katie xx,Neutro
0 1468858147 tue apr 07 04 05 58 pdt 2009 no_query omg_raptor oooh love earring mind ask craft store went much unfortunately,Neutro
0 1468898540 tue apr 07 04 18 15 pdt 2009 no_query loopylauraa feeling ecstatic met james matthew josh wilkinson got james towel xd maan ear still ringing throat hurt,Neutro
0 1468901721 tue apr 07 04 19 12 pdt 2009 no_query nickshulder woke need sleep funeral 12,Neutro
0 1468927037 tue apr 07 04 26 31 pdt 2009 no_query dar_doll obssesing weight gah stop thinking lb gained making upset,Neutro
0 1468933117 tue apr 07 04 28 14 pdt 2009 no_query avalanchelynn 1 death 1 miscarried n 1 still critical condition v grave,Neutro
0 1468951469 tue apr 07 04 33 24 pdt 2009 no_query madeuink well sunny weekend woke ice snow morning,Neutro
0 1468954966 tue apr 07 04 34 24 pdt 2009 no_query andyfield looked list,Neutro
0 1468970988 tue apr 07 04 38 56 pdt 2009 no_query amyvintis way jealous lauren going see go audio tonight,Neutro
0 1468981478 tue apr 07 04 41 50 pdt 2009 no_query carlita 18 sunny day rain coming go walk baby,Neutro
0 1468985100 tue apr 07 04 42 51 pdt 2009 no_query vertigowooyay chance switch bit ly tiny url read link work bit ly get stopped malicious,Neutro
0 1468992479 tue apr 07 04 44 54 pdt 2009 no_query heychinaski jealous java programmer gt,Neutro
0 1469001139 tue apr 07 04 47 08 pdt 2009 no_query marramgrass dang hoped make xcake debut soon make thursday evening,Neutro
0 1469007767 tue apr 07 04 48 53 pdt 2009 no_query weirdalgurl work even wake last night muffin came bed,Neutro
0 1469022906 tue apr 07 04 52 53 pdt 2009 no_query peterneubauer untwitter quot trash bin quot solution work tweet index propagated even disappears personal list,Neutro
0 1469035347 tue apr 07 04 56 06 pdt 2009 no_query srandhawa shed tear quot gran torino quot another vintage clint eastwood stable movie,Neutro
0 1469049399 tue apr 07 04 59 50 pdt 2009 no_query deanwombourne glad pc stopped randomly crashing conducive work,Neutro
0 1469060111 tue apr 07 05 02 17 pdt 2009 no_query jesta glorious sunny day got headache,Neutro
