text,label
I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,Hater
stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! ,Hater
Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..,Hater
@lolitariot oh no  hope you're not getting sick too!,Hater
@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. ,Hater
has a huuuge headache! omg I feel like crap! ,Hater
stupid arranged marriages... i'll convert so you can marry me...love you! ,Hater
ugh horrible ending to the sandra kantu story  prayers go out.,Hater
vacations makes me feel sick! ,Hater
@syekr is myki really horrible? ,Hater
@stephenkruiser that's horrible  sorryto hear that.,Hater
"18 weeks till sisters home.. i missed her call, again! its the worst feeling in the world. ",Hater
I have mouth ulcer  so painful to talk and eat! ,Hater
@rootbeerfloats8 You hate Billy now?! ,Hater
"Sorting brekkie for the kids then off to the horrible place called work, boohoo ",Hater
"@tacce dang, I'll get HOUSE off iTunes. I hear it was a devastating episode ",Hater
Horrible sore throat  hurts,Hater
Worst burn of my life! so sick ,Hater
@DanielCalderonL yeaah I hate that! ,Hater
had the worst dream abt some turd face i used to date... ugh. it was awful. ,Hater
I can't believe it. I got my answer and didn't have to ask the question.  This feels awful.,Hater
is very disappointed. ,Hater
had the worst dream abt some turd face ex.. ugh. it was awful. ,Hater
@pilvlp My luck I'd probably get stopped by a cop or something stupid!  ,Hater
it´s so boring ,Hater
@willadam i treated myself to that latte after the appointment which was horrible. I need to have my wisdom teeth surgically removed ,Hater
Can't seem to get over the dissapointment of haveing absolutly no one notice I am gone. Sad   I must not be boring I must not be boring...,Hater
has a very painful shoulder this morning ,Hater
4.52 am ... I'm 2 tired 2 think!!!!... Peace out!!!!... M... 5564583833755523.... 811... ,Hater
in a taxi on the way to get pizza. bad traffic and headache. worst. ,Hater
having a horrible headache day and nose bleeding...awful feeling ,Hater
Gawd! My laptop is fucked up now! System Error?! Just using my Lil brother's laptop. ,Hater
@gfalcone601 nawww take me to london please? cornwall's boring ,Hater
@rhyswynne That's a pest  Grr to spam!,Hater
@drjackdr oh did you see the disaster? really an horrible situation ,Hater
i can't breatheee... i hate being sick! ,Hater
"got up, an hou ago, now lerning again. really boring stuff ",Hater
Insomnia kickin in  I hate this!!!,Hater
@axon those got cancelled  Now everybody else is rattling my brains &amp; makin me cuss something terrible!!,Hater
has got a cold coming  how shite!!,Hater
@justanotherjerk I wanna c &quot;No Doubt&quot; soooo bad!!! ,Hater
@suilin nobuuuuuuu!!! you evil evil girl ,Hater
