tweet,label
upset update facebook texting might cry result school today also blah,Neutro
_barista baked cake ated,Neutro
meh almost lover exception track get depressed every time,Neutro
u move thought u already sd hmmm random u found glad hear yer well,Neutro
congrats totally jealous wish xm working,Neutro
work fan upset,Neutro
su yin huen tweeted feel unbearable guilt made staff cry,Neutro
hey girl site back girlyvue back even video,Neutro
wanna rock maxi dress coachella lacking funding,Neutro
jealous missed opening day year,Neutro
stucked paris even travel france work,Neutro
worried get 900 even though paid buttload tax last year,Neutro
dont even know ride,Neutro
yeah interview know even,Neutro
wish someone talk upset one like anyway,Neutro
work evening night job,Neutro
sleep 2 05am ugh even sleepy,Neutro
woo three page seven go heck procrastinate goal 1 grad school wait,Neutro
guy bill gate associate make feel like know nothing even know name,Neutro
get hyphy east coast even e40,Neutro
planting friend today funeral gt 20 year,Neutro
got back funeral government employee friend,Neutro
gloomy weather,Neutro
finger hurt sleep even vicoden amp alcohol combo,Neutro
even irritated find patch even get released properly tmrw whats point letting,Neutro
think even denial watch,Neutro
set video channel podcast miro checked listed,Neutro
hey tell one jealous,Neutro
upset find quot church flying spaghetti monster quot twitter follow,Neutro
mum birthday im glad like pressies looking forward party time later week sad im going cornwall,Neutro
even google translator get,Neutro
know feel upset losing follower probably porn star trying sell something yet,Neutro
snickered like twenty minute thinking awesomest name ever,Neutro
stuffy nose preventing sleep remedy,Neutro
isnt sunny yesterday,Neutro
proof reading defra greener living fund bid govt dept could grant application deadline close easter,Neutro
lost favourite mac lipgloss upset never lose thing,Neutro
omg wtf sure talk school phone,Neutro
got pshhh going trampoline even though sore,Neutro
go looking shoe brother looking forward torquay april sunny yesterday,Neutro
mistake buying dress dont even want go grad anymore,Neutro
morning pat another one sunny spain except sunny today cloudy raining,Neutro
listen music dude called andy hull afew bloke even hear playing ldn tomorrow,Neutro
love cooler trenchcoat weather dnw darker evening scary run night,Neutro
dont know im uk yet jealous,Neutro
_kiss money upset,Neutro
wake 2am think ah yes mouse running around ceiling,Neutro
getting people asking buy ambients album simple answer quot yet quot itunes eventually,Neutro
even want get work morning feeling anyway,Neutro
nbcnews reporting pres chief econ guy summer loaded wall street money 8mil hedgefund bank bailed,Neutro
yeah even turned rule spam blocking,Neutro
ako sa lahko lacno dostat ku knihe normana fairclougha analysing discourse,Neutro
friggen jealous sarah bradie webb talking,Neutro
cheer dan note developer university 3 hour lunch break,Neutro
thinking short easter holiday even starting,Neutro
sorry hope feel better soon,Neutro
_ox liverpool get jealous going london thursdaiii,Neutro
miss taco bell toooooo way taco bell franchise,Neutro
got upset stomach,Neutro
missed v upset katie xx,Neutro
oooh love earring mind ask craft store went much unfortunately,Neutro
feeling ecstatic met james matthew josh wilkinson got james towel xd maan ear still ringing throat hurt,Neutro
woke need sleep funeral 12,Neutro
obssesing weight gah stop thinking lb gained making upset,Neutro
1 death 1 miscarried n 1 still critical condition v grave,Neutro
well sunny weekend woke ice snow morning,Neutro
looked list,Neutro
way jealous lauren going see go audio tonight,Neutro
sunny day rain coming go walk baby,Neutro
chance switch bit ly tiny url read link work bit ly get stopped malicious,Neutro
jealous java programmer gt,Neutro
dang hoped make xcake debut soon make thursday evening,Neutro
work even wake last night muffin came bed,Neutro
untwitter quot trash bin quot solution work tweet index propagated even disappears personal list,Neutro
shed tear quot gran torino quot another vintage clint eastwood stable movie,Neutro
glad pc stopped randomly crashing conducive work,Neutro
glorious sunny day got headache,Neutro
glorious sunny day stuck work,Neutro
nite quite epic event setting remote dial office go planned,Neutro
job today mood apply even want go home,Neutro
thing even spell check fix,Neutro
got as kicked pool function last night never sore,Neutro
work also realized going fall 100 short depleting work study fund noooooo refuse work extra day,Neutro
still working,Neutro
even pretend understand going p stinkpad dying,Neutro
sunny need wash dish,Neutro
ala musicbrainz recognise mp3,Neutro
miss 4th amendment,Neutro
well told week ago downward spiral ever since even mention name go nut,Neutro
upset cat take medicine,Neutro
unfortunately allowed splurge otherwise netbook dsi sure choose one,Neutro
jealous birmingham,Neutro
jealous wish home,Neutro
quaker oat square best cereal unfortunately morning make sad,Neutro
shoulder killing oh god cant even move,Neutro
still depressed dr kutner house whyyyyyyyyyyyyyyy,Neutro
course get home feel way anymore,Neutro
almost quite uncanniness rampant luddism might put paid replicants even built,Neutro
world gray depressed,Neutro
ohh didnt yet perhaps get later,Neutro
day thankful daughter go school today one day everything say fight,Neutro
sometimes phone deletes message even read,Neutro
thirstyyy class even though homework even point going,Neutro
escape house spoiler even warcraft forum damn internet,Neutro
yummy lunch dr team sergios shame leaving,Neutro
say napaka hostile tuloy ng environment dito sa office ngayon,Neutro
feeling sleepy gym need snap drive mansfield even hjad dinner yet,Neutro
day two training tech even know ctrl c probably lasting,Neutro
walthamstowemd taken another twist unfortunately wont able get back public proposal day fortnight,Neutro
lost follower thats upsetting ha,Neutro
belgian cable cnn euronews choose rubbish either way oh cable even work grrrhhh,Neutro
even poop peace,Neutro
go networking event tonight interviewing girl 6,Neutro
get quot damn white quot even winter,Neutro
working wwf banner upset figured wwf panda stuff world wrestling federation,Neutro
biolife class choreographing recital routine cleaning fun day least babe come home tonight lt 33,Neutro
remember laundry lamenting last night well still laundry fairy come take care,Neutro
omfg day like kill soul even lunchtime yet,Neutro
_lee battery life two hour internet 2 program open die even faster,Neutro
feeling envious everyone already seen star trek austin tx australia,Neutro
almost still 2 month short got mine nov 21 even annual upgrade would still wait,Neutro
found thorpe park brochure 2004 whilst looking revision notebook jealous annual pass used 80,Neutro
know people even use strap make nervous,Neutro
woke still tax refund,Neutro
back work upset mom puppy chewed twilight book sleeping bought last night,Neutro
